Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
Color for Sphere at Vec3 { x: -4.0, y: 0.0, z: 4.0 } with color Color { r: 255, g: 255, b: 0, a: 255 } is Color { r: 0, g: 0, b: 0, a: 255 }
